fName,lastName,birthday,title,roleName
Chelsea,Egerton,1962-03-10,Dostana,Anna
Lu,Handler,2003-08-17,Duniya,Sophie
Ava,Han,1977-12-16,Duplicate,David Kim
Bill,Michelle,1956-11-06,Friendship,David Kim
Subba,Burr,1979-03-12,Gori Tere Pyaar Mein,Sophie
Vishwaksen,Rao,1958-04-10,Gumrah,David Kim
Murat,Naidu,1959-07-25,Hasee Toh Phasee,Barbie
Karam,Boz,1989-11-21,Humpty Sharma Ki Dulhania,Sophie
G.V.,Hussain,1977-09-06,Kaal,Dog
Olivia,Prakash,1952-03-22,Kabhi Alvida Naa Kehna,David Kim
Sonja,Corsini,1951-04-07,Kabhi Khushi Kabhie Gham,Anna
Ibrahim,Ball,1954-07-14,Kal Ho Naa Ho,Barbie
Iván,Almeirasi,2002-02-23,Kapoor & Sons,Anna
Luciano,MarÃ­n,1988-08-24,Kuch Kuch Hota Hai,Anna
Natalia,GonzÃ¡lez,1979-06-13,Magnificent,Dog
Christina,de,1975-09-22,Muqaddar ka Faisla,Barbie
Leonardo,Milian,1976-07-01,SETHUM AAYIRAM PON,Dog
Travis,Medeiros,1962-01-04,The Little Vampire,Dog
Dave,Scott,1987-07-06,The Runaways,Dog
Carlos,Chappelle,1957-11-02,Ungli,Anna
Priti,Chan,1984-07-11,Wildling,Anna
Sharry,Sapru,2002-10-21,A truthful Mother,Anna
Smita,Mann,1982-03-05,Greater,David Kim
Simon,Tambe,2000-06-04,Indian Horse,Anna
Jon,Amstell,1960-05-19,Paharganj,Anna
Saif,Plazaola,1992-05-10,Pretty Little Stalker,Sophie
Wen,Ali,1985-12-02,Through My Father's Eyes: The Ronda Rousey Story,David Kim
Whindersson,Chen-ling,1987-06-07,Kannum Kannum Kollaiyadithaal,David Kim
Calum,Nunes,1968-06-13,Rogue Warfare,David Kim
Khushboo,Von,1996-11-03,Dragons: Rescue Riders: Hunt for the Golden Dragon,David Kim
Carlos,Upadhyay,1965-10-04,Maska,Dog
James,Alazraqui,1951-03-25,The Decline,David Kim
Go,Cromwell,1964-02-22,There's Something in the Water,Barbie
Jung,Ara,1950-12-01,True: Wuzzle Wegg Day,Barbie
Theo,Eun-ji,1956-07-16,Uncorked,Dog
Brent,Von,1989-02-26,Willy and the Guardians of the Lake: Tales from the Lakeside Winter Adventure,David Kim
Jim,Morin,1997-01-08,Happy Old Year,Barbie
Kozo,Jefferies,2003-04-30,Bethany Hamilton: Unstoppable,Anna
Adriana,Morishita,1977-03-01,Curtiz,David Kim
Vijay,Paz,1981-05-19,The Occupant,Sophie
Raja,Kumar,1972-09-15,Tom Segura: Ball Hog,Sophie
Bernat,Goutham,1978-10-12,El silencio es bienvenido,Sophie
Victor,Quintana,1951-12-12,Ultras,David Kim
D.L.,Artus,1968-09-26,3022,Anna
Demetri,Hughley,1968-10-09,Altered Carbon: Resleeved,Sophie
Nicholas,Martin,2003-12-17,Masameer - The Movie,Barbie
Chapman,Tse,1989-07-09,AllI Wish,Anna
Sammo,To,1973-03-09,Lu Over the Wall,David Kim
Estefanía,Kam-Bo,1977-09-05,Bert Kreischer: Hey Big Boy,Sophie
Brenda,de,1973-02-05,Search Party,Dog
Suhas,Song,2002-03-27,Bypass Road,Sophie
David,Joshi,1986-10-04,Jai Mummy Di,Barbie
Jean,Harbour,1963-06-21,Baby Mamas,Anna
Jack,Reno,1981-03-27,Go Karts,David Kim
Max,Kao,1954-08-25,Justine,Dog
Aziz,von,1964-05-19,Kingdom,David Kim
Katherine,Ansari,1964-12-29,Lost Girls,Sophie
Phantira,Ryan,1977-03-22,Miracle in Cell No. 7,Dog
Vijay,Pipityakorn,1988-10-29,Carmen Sandiego: To Steal or Not to Steal,Anna
Jesús,Sethupathi,1969-02-02,Marc Maron: End Times Fun,Dog
Ana,Abad,1968-07-16,All About Love,Barbie
Thom,Layevska,1968-05-13,Guilty,Barbie
Daniel,Yorke,1985-11-07,I am Jonas,David Kim
Mike,Sosa,1957-08-09,Miles Davis: Birth of the Cool,Barbie
Tony,Epps,1991-10-31,Spenser Confidential,David Kim
Luis,Jaa,1999-11-06,Twin Murders: the Silence of the White City,Barbie
Megumi,GerÃ³nimo,1997-08-22,93 Days,Anna
François,Ogata,1980-10-06,Tootsies & The Fake,Sophie
Khalil,Civil,1959-09-01,Aurora,Anna
Adam,Everage,1965-07-19,Lil Peep: Everybodyâ€™s Everything,Anna
Niklas,Devine,1981-08-09,The Death of Mr. Lazarescu,Dog
Abhay,Bruhn,1969-05-31,Velvet,Sophie
Pihu,Mahajan,1987-06-12,Freaks,Dog
Maísa,Myra,1964-11-10,Luccas Neto in: The End of Christmas,Dog
Oprah,Silva,1986-08-23,Taylor Tomlinson: Quarter-Life Crisis,Barbie
Gonzalo,Winfrey,1958-07-07,The Last Bomb of the Second World War,Barbie
Clara,Delgado,1981-07-24,Uncovered,David Kim
Adam,Rugaard,1987-08-02,W.E.,Dog
Lena,Moussamih,1958-05-09,Fat Ballerina - David A. Arnold,Anna
Clarence,Klenke,1979-03-13,Bhangra Paa Le,David Kim
Aenne,Avant,1984-07-12,Frank & Lola,Barbie
Pierre,Schwarz,1967-08-27,Hugo,Sophie
Colleen,Bokma,1982-02-22,Ordinary World,Anna
Suyog,Ballinger,1994-03-12,"Pop, Lock 'n Roll",Anna
Subrat,Rajendra,1990-12-08,There Will Be Blood,Dog
Bogdan,Dutta,2003-01-06,Voulez-vous rire avec moi ce soir?,Sophie
Lam,Iancu,1977-01-20,All The Bright Places,Barbie
Anjali,Yiu-sing,1953-07-07,Ala Vaikunthapurramuloo,Dog
Shen,Patil,1958-01-09,PokÃ©mon: Mewtwo Strikes Back - Evolution,Dog
Lee,Teng,1960-03-13,Six Windows in the Desert,Sophie
Anwulika,Jung-jae,1992-10-24,Couple of Days,Dog
Jack,Alphonsus,1984-10-14,Gbomo Gbomo Express,Barbie
Allison,Gore,1990-09-09,Taxi Driver,Anna
Abhimanyu,Williams,1978-05-17,The Arbitration,Barbie
Wanda,Dassani,1983-11-06,When Love Happens,Anna
Cristine,Sykes,1963-05-16,Pete Davidson: Alive From New York,David Kim
Saverio,Reyes,1984-01-24,Full Count,Sophie
Eden,Raimondo,1964-09-20,Girl on the Third Floor,Sophie
Tiya,Duncan-Smith,1991-07-12,Unabomber - In His Own Words,Barbie
Lolita,Sircar,1977-10-18,System Crasher,David Kim
Beattie,Chatterjee,1956-05-17,The Body,Barbie
Talha,Edmondson,1952-02-08,The Last Thing He Wanted,Barbie
Joe,Arshad,1968-08-26,Yeh Ballet,Sophie
Hepi,Anderson,1964-04-14,Pretville,Sophie
Antonella,Mita,1975-12-31,By the Sea,Barbie
Dylan,Costa,1982-03-03,Miss Virginia,Anna
Tony,Robert,1965-08-04,MR. RIGHT,Dog
Clara,Leung,1968-04-07,On the Real,David Kim
Amy,Lago,1978-12-30,Term Life,Barbie
Collin,Poehler,1980-08-25,The Forest,Sophie
Jing,Chou,1980-05-20,A Shaun the Sheep Movie: Farmageddon,Sophie
Sebastián,Wu,1960-04-11,Cuddle Weather,Dog
Blanca,Osorio,1964-11-13,Fanatyk,Barbie
Zac,SuÃ¡rez,1985-08-29,Isi & Ossi,Dog
Lee,Efron,1987-09-20,Liefling,Dog
Gagan,Sun-kyun,1971-06-30,Panipat - The Great Betrayal,Sophie
John,Kokri,1995-06-24,The Ghost and the Tout,Sophie
Alexandria,Lennon,1976-03-03,Dragon Quest Your Story,Dog
Syamsul,Ocasio-Cortez,1987-02-21,Sleepless Society: Insomnia,Barbie
Upendra,Yusof,1978-07-01,French Toast,Sophie
Francis,Limaye,1956-10-08,To All the Boys: P.S. I Still Love You,Sophie
Anthony,Chun-Yu,1983-06-29,Good Time,Dog
Zoya,Jeselnik,1996-02-29,Love for Sale 2,Anna
Esben,Hussain,2003-08-15,Fronteras,Anna
Manav,Smed,2003-03-26,Polaroid,Barbie
Kate,Kaul,1986-04-03,The Coldest Game,Anna
Franco,Winslet,1997-01-13,Thottappan,Sophie
Domhnall,Escamilla,1965-06-15,Azali,David Kim
Koena,Gleeson,1973-01-31,Horse Girl,Barbie
Kay,Mitra,1967-09-13,Jada,Anna
Rahul,Kay,2001-05-07,The Ballad of Lefty Brown,Barbie
Mahabrata,Bose,1987-12-06,Gardeners of Eden,Sophie
Jessica,Basu,1964-03-30,Arrow,Barbie
María,Allain,1973-04-30,Uppity: The Willy T. Ribbs Story,Barbie
Nil,Pedraza,1987-11-27,Dragonheart: Vengeance,Barbie
Cansu,GÃ¼nal,1956-07-03,"Faith, Hope & Love",Sophie
Noah,Kurgun,1980-04-08,Tom Papa: You're Doing Great!,Dog
Lee,Centineo,1993-09-11,Thambi,Barbie
Liss,Ji-eun,2002-05-31,The Silent War,Sophie
Stanley,Pereira,1991-05-28,Chronically Metropolitan,David Kim
Clayton,Tucci,1963-08-06,Hum Aapke Hain Koun,Dog
Brie,Snyder,1983-07-31,Justice,Anna
Luna,Larson,1982-04-30,Love Jacked,Anna
Harvind,Maya,1979-01-20,Miraculous: Tales of Ladybug & Cat Noir,Sophie
Jing,Raj,1970-03-23,Misfit 2,David Kim
Hajira,Boran,1971-11-07,The Car: Road to Revenge,Anna
Daniella,Yamin,1992-02-08,Together For Eternity,Anna
Cynthia,Pineda,1979-04-14,37 Seconds,Anna
Rahul,Dankwa,1974-04-17,Gang of the Caribbean,Barbie
Luis,Pethe,1960-11-08,Hakkunde,Sophie
Prilly,Gerardo,2003-02-05,Miss Americana,Barbie
Sarun,Latuconsina,1992-11-24,Kevin Hart: I'm a Grown Little Man,Sophie
Adriana,Cinsuvapala,1993-02-07,Close Enemies,David Kim
Douglas,Ugarte,1973-12-28,Shimla Mirchi,David Kim
Sam,Booth,1954-05-31,Sillu Karuppatti,Anna
Alexis,Milby,1974-12-12,Vir Das: For India,Barbie
Aishwarya,Viera,1982-02-25,Menashe,Barbie
Amy,Ghaydar,1953-10-24,A Sun,Barbie
Josh,Schumer,1975-08-07,Die Ontwaking,David Kim
Radhika,Pais,2000-04-02,Airplane Mode,Dog
Olivier,Apte,1958-05-21,Alex FernÃ¡ndez: The Best Comedian in the World,Sophie
Edoardo,Rabourdin,1963-11-01,The Ghost Bride,Sophie
Victor,Ferrario,1979-01-21,Whisky,Barbie
Chien-Ming,Polster,1974-10-30,Fortune Feimster: Sweet & Salty,Sophie
Maricel,Wang,1962-09-10,KD (A) Karuppudurai,Barbie
Ronaldo,Soriano,1988-05-18,Motichoor Chaknachoor,David Kim
Hussain,Valdez,1970-05-29,WHAT DID JACK DO?,Dog
Alfre,Al,1963-07-30,The Bling Ring,Barbie
Cécile,Woodard,2003-11-28,A Fall from Grace,Barbie
Spencer,De,1969-09-01,Deadcon,Anna
Sanaa,Locke,1963-03-17,Hop,Sophie
Ai-Ai,Lathan,1994-10-04,Jezebel,Dog
Piolo,de,1956-08-15,Legend,David Kim
Richard,Pascual,1986-01-22,NiNoKuni,Barbie
Anne,Gomez,1953-06-07,Steve Jobs,Barbie
Fumi,Curtis,1957-12-25,Bulbul Can Sing,Dog
Artiwara,Nikaido,1984-11-17,Eye For An Eye,Dog
Manu,Kongmalai,1985-07-20,MindGamers,Sophie
Bradley,Payet,1950-07-24,The Brave,Barbie
Andrei,Steven,1958-05-19,Leslie Jones: Time Machine,Barbie
Debby,Indreies,1959-03-21,Women of Mafia 2,Sophie
Maxwell,Ryan,1988-01-07,Betty White: First Lady of Television,Barbie
Luis,Simba,1960-01-17,Made in China,David Kim
Freddie,Aguirre,1994-07-27,Jamtara - Sabka Number Ayega,Dog
José,Highmore,1976-04-28,Monsters: Dark Continent,Anna
Najwa,Coronado,1977-08-18,Bulletproof 2,Dog
Mona,Nimri,1973-07-20,A Ghost Story,David Kim
Ravi,Ambegaonkar,1958-10-02,"Live Twice, Love Once",Sophie
Usha,Bhushan,1991-06-14,All the Freckles in the World,Dog
Mark,Jadhav,1985-09-02,Half Girlfriend,Dog
Noémie,Duplass,1950-10-02,Aruna & Her Palate,Dog
Song,Schmidt,1965-11-19,Breaking the Bank,David Kim
Kevin,Kang-ho,1967-08-10,Garfield Gets Real,Sophie
Janae,James,1986-08-25,Garfield's Fun Fest,David Kim
Kajal,Marie,1972-08-14,Garfield's Pet Force,Dog
Deepak,Aggarwal,1989-08-13,Ghost Stories,Sophie
Ariel,Subramanya,1959-06-18,Jeff Dunham: Unhinged in Hollywood,David Kim
Prashant,Goldenberg,1981-01-21,Jimmy Neutron: Boy Genius,Sophie
Kareena,Prakash,1998-03-06,Pan's Labyrinth,David Kim
Ranvir,Kapoor,1982-03-03,PokÃ©mon the Movie: Power of Us,Sophie
Lise,Shorey,1975-07-24,Posesif,Sophie
Lucky,Baastrup,1982-03-05,Road Trip: Beer Pong,Barbie
Madeleine,Ali,1998-05-02,Aaviri,Barbie
Mallika,Sami,1993-03-24,Albert Pinto Ko Gussa Kyun Aata Hai?,Sophie
Sam,Sherawat,1952-04-18,Benchwarmers 2: Breaking Balls,David Kim
Úrsula,Cooke,1989-11-04,How High 2,Sophie
Ray,CorberÃ³,1971-05-04,Hot Gimmick: Girl Meets Boy,Dog
Sam,Romano,2003-03-06,Blitz Patrollie,Dog
Rajeev,Gittins,2003-01-13,"El Pepe, a Supreme Life",Sophie
Dee,Anand,1977-10-14,The App,Barbie
James,Bradley,1980-01-16,You,Sophie
Jake,Mathis,1954-10-08,Doom: Annihilation,Sophie
Arya,Gyllenhaal,1978-06-01,Fireworks,David Kim
Imran,Babbar,1962-03-26,Grand-Daddy Day Care,Sophie
Park,Rasheed,1971-09-09,Jarhead: Law of Return,Barbie
Luis,Hae-il,1962-01-23,MFKZ,Dog
Sruthi,Callejo,1959-02-16,Sweetheart,Barbie
Paulo,Hariharan,1959-04-14,Como caÃ­do del cielo,Anna
Clare,Avelino,1989-08-27,John Mulaney & The Sack Lunch Bunch,Sophie
Guillermo,Durant,1991-03-30,Jacob's Ladder,Anna
Franco,Francella,1964-12-22,Back of the Net,Dog
Ali,Masini,1962-07-29,Lost in London,Anna
Margaret,Atay,1961-12-23,Being Mrs Elliot,Dog
Leonardo,Qualley,1978-11-22,Iyore,Dog
Paco,Ribeiro,1976-08-29,The Two Popes,Sophie
Geetika,Ignacio,1958-10-13,Ronny Chieng: Asian Comedian Destroys America!,Sophie
Sajid,Vidya,1983-01-24,"Sincerely Yours, Dhaka",Sophie
Junaid,Hasan,1967-01-19,The Danish Girl,Sophie
Bruce,Akhtar,1986-09-04,Bangistan,David Kim
Shandy,Khan,1998-04-22,"Crazy, Lovely, Cool",David Kim
Jennylyn,Aulia,1977-05-19,Dil Chahta Hai,David Kim
Alain,Mercado,1985-10-10,Dil Dhadakne Do,Dog
Chevy,HernÃ¡ndez,1996-11-02,Don,David Kim
Mamoru,Chase,1977-10-12,Don 2,Anna
Tauquir,Miyano,1964-04-13,Fukrey,Anna
Inthira,Ahmed,1962-03-04,Game,Barbie
Kristi?n,Charoenpura,1994-08-03,Girls und Panzer,Dog
Graham,ThoÌra,1960-07-15,Honeymoon Travels Pvt. Ltd.,Dog
Dan,Chapman,1960-08-27,Isoken,David Kim
Moshe,Aaron,1989-12-07,Karthik Calling Karthik,David Kim
Ikue,Kasher,1959-06-09,Lakshya,Barbie
Andrea,Otani,1991-03-18,Luck by Chance,Sophie
Whitney,Jeremiah,1981-08-10,Potato Potahto,Dog
Bill,Cummings,1995-08-25,Rock On!!,Anna
Sam,Hicks,1976-07-04,Talaash,Barbie
Tim,Kinison,1985-07-02,Zindagi Na Milegi Dobara,Anna
Tim,Allen,1996-11-15,6 Underground,Sophie
Todd,Minchin,1998-08-10,A Trip to Jamaica,Barbie
Julián,Glass,1985-08-18,My Wife and I,Barbie
James,VillagrÃ¡n,1985-05-27,The 9th Precinct,Anna
Tedd,McAvoy,1956-04-12,Jack Whitehall: Christmas with My Father,Sophie
Edwin,Chan,1970-08-24,The Sky Is Pink,Barbie
William,Goh,1954-04-24,Good and Prosperous,Dog
Kit,Lawandi,2001-03-11,Michelle Wolf: Joke Show,Anna
Priyanka,Chan,1973-10-03,A Family Reunion Christmas,Dog
Ellen,Bose,2002-11-01,It Comes at Night,Barbie
Samyuktha,DeGeneres,1968-03-12,Saaho,Barbie
Gavin,Menon,1986-11-26,Nothing to Lose 2,Dog
Julianne,Lewis,1966-10-10,Banana Island Ghost,Barbie
Bruce,Moore,1985-10-23,Marriage Story,Dog
Emily,Springsteen,1993-04-11,No Game No Life: Zero,David Kim
Kelly,Watson,1963-06-18,Slow Country,Barbie
Alessandra,Hu,1965-11-07,The Chosen One,Dog
Sergio,de,1981-03-31,Wives on Strike,Dog
Gary,Pizzorno,1956-03-02,Wives on Strike: The Revolution,Dog
Guru,Lightbody,1992-04-22,A Christmas Prince: The Royal Baby,Barbie
Yalitza,Somasundaram,1990-11-06,Tiffany Haddish: Black Mitzvah,David Kim
Massimo,Aparicio,1952-09-27,A Cinderella Story: Christmas Wish,Dog
Danielle,Ghini,1973-04-28,Baby Dolls,David Kim
Parker,Macdonald,2003-08-16,Cut Bank,Sophie
Paris,Sawyers,1977-05-06,Dead Kids,Sophie
Ali,Hilton,1993-07-01,High End Yaariyan,Sophie
Qi,Zafar,1970-04-06,Jindua,David Kim
Louis,Shu,1975-04-20,Mahi NRI,David Kim
Lisa,Koo,2000-12-11,Qismat,David Kim
Andy,Teige,1956-01-13,Tee Shot: Ariya Jutanugarn,Dog
Ekin,Lau,1968-06-20,Thug Life,Barbie
Deepak,Cheng,1980-06-15,Wandering Stars,David Kim
Zahiril,Dobriyal,1980-03-12,Why Me?,Sophie
Kainaat,Adzim,1996-10-16,Guatemala: Heart of the Mayan World,Anna
Jacky,Arora,1972-08-17,The Zoya Factor,Sophie
Nick,Cheung,1972-09-19,Atlantics,David Kim
Wenpei,Cheung,1998-07-23,Crazy people,Dog
Adriano,Ju,1996-03-20,I Lost My Body,Anna
Isabelle,Tardiolo,1981-03-11,Kalushi: The Story of Solomon Mahlangu,Barbie
Tara,Adjani,1952-12-31,Payday,Anna
Paco,Strong,1967-11-03,The Accidental Spy,Barbie
Kaitlyn,LeÃ³n,1988-07-13,The Island,Sophie
Raditya,Maher,1952-05-02,Holiday Rush,Barbie
Trevor,Dika,1994-05-03,Defiance,Anna
Stacy,Noah,1951-02-26,Evvarikee Cheppoddu,David Kim
Madeline,Keach,2001-03-22,The Body Remembers When the World Broke Open,Anna
Stephen,Brewer,1960-07-17,The Irishman,Anna
Chelsea,Huszar,1998-02-12,Mike Birbiglia: The New One,Dog
Joseba,Islan,1971-04-25,Super Monsters Save Christmas,Barbie
Lucas,Usabiaga,1999-10-23,Pranaam,Barbie
Ana,Gregorowicz,2003-11-17,Shot Caller,Dog
John,Caetano,1990-04-27,Brother,David Kim
Orson,Huston,1975-08-13,Girls und Panzer der Film,Anna
Shreyas,Welles,1967-12-24,Shelby American,Anna
Prabhu,Talpade,1983-11-10,The Knight Before Christmas,Barbie
Yudhveer,Deva,1970-07-01,"Bikram: Yogi, Guru, Predator",Sophie
Rana,Bakoliya,1969-06-21,Dorasaani,Anna
Scott,Ranbir,1965-09-05,"Lorena, Light-Footed Woman",Anna
Shen,Cavalheiro,1968-04-05,Mallesham,Anna
Edmilson,Lin,1976-11-12,Iliza Shlesinger: Unveiled,Dog
Harbhajan,Filho,1992-02-24,Jeff Dunham: All Over the Map,Anna
Mithra,Mann,1978-02-01,Suffragette,Barbie
Katt,Kurian,1973-09-25,The Green Inferno,David Kim
Roshan,Williams,1967-09-13,Earthquake Bird,Barbie
Armistead,Prince,1996-05-24,El sendero de la anaconda,Dog
Mncedisi,Maupin,1964-03-05,GO! The Unforgettable Party,Anna
Darsheel,Shabangu,1995-05-11,Guna 369,Anna
John,Safary,1967-01-16,House Arrest,Barbie
Milan,Arcilla,1961-05-11,K-on! the movie,Anna
Lakshmi,Maric,1981-12-25,Klaus,Dog
Ronnie,Manchu,1977-09-30,SunGanges,Dog
Zach,Coleman,1969-07-31,The Garden of Words,Barbie
Gisela,McGowan,1965-06-13,Fadily Camara : La plus drÃ´le de tes copines,Sophie
Joaquín,Ponce,1993-12-20,Jeff Garlin: Our Man In Chicago,David Kim
Becky,Ferreira,1961-10-17,A Single Man,Anna
Gang,G.,1970-03-06,Let It Snow,Barbie
Joe,Dong-won,1974-08-02,Paradise Beach,Barbie
Ron,Taslim,1957-01-09,U Turn,Dog
Barun,White,1959-01-26,Burning Cane,Sophie
Diljit,Chanda,1953-05-25,Shadow,Sophie
Dan,Dosanjh,1991-03-18,Luccas Neto in: Summer Camp,David Kim
Kandido,Stevens,1964-09-03,Seth Meyers: Lobby Baby,Barbie
Sandrinna,Uranga,2000-11-01,The Lovers,David Kim
Maggie,M,1976-07-20,Tune in for Love,David Kim
Anders,Gyllenhaal,1968-10-12,Undercover Brother 2,Barbie
Keith,Danielsen,1973-02-04,Minimalism: A Documentary About the Important Things,David Kim
Mo,David,1981-07-10,Oththa Seruppu Size 7,Dog
Puteri,Amer,1990-06-02,A Fairly Odd Summer,David Kim
Travis,Aishah,1976-06-07,Big Time Movie,Dog
Florence,Tope,1990-05-02,Escape from Mr. Lemoncelloâ€™s Library,Sophie
Satinder,Pugh,1965-07-25,Hey Arnold! The Jungle Movie,Anna
Cassandra,Sartaaj,1982-08-04,Jinxed,Sophie
Russell,Scerbo,1963-03-13,LEGENDS OF THE HIDDEN TEMPLE,Anna
John,Brand,1960-02-06,"Liar, Liar, Vampire",Barbie
Steve,Cleese,1972-10-16,The Boy Who Cried Werewolf,David Kim
Morgan,Martin,2001-01-22,The Massively Mixed-Up Middle School Mystery,Sophie
Adesh,Neundorf,1980-09-17,A Remarkable Tale,Sophie
Deep,Bhardwaj,1963-05-30,American Son,Dog
Gurdas,Joshi,1970-12-21,Christmas in the Heartland,David Kim
Sarabjit,Maan,1987-06-23,Christmas Survival,Sophie
Amrinder,Cheema,1970-07-08,Drive,Sophie
Nandu,Gill,1989-08-27,Holiday in the Wild,Barbie
Ravinder,Madhav,1957-03-06,Holly Star,Anna
Ranjit,Grewal,1997-09-09,Santa Girl,David Kim
Jackie,Bawa,1994-01-06,The King,Anna
Kunal,Shroff,1962-03-21,The Man Without Gravity,Barbie
Rajpal,Kapoor,1964-06-20,ZoÃ©: Panoramas,Anna
Gurpreet,Yadav,1987-11-19,Grego Rossello: Disculpe las molestias,Anna
Ashleigh,Guggi,1966-05-22,Nowhere Man,David Kim
Gabriel,Ball,1991-01-11,"Bring It On, Ghost",David Kim
Shivam,Sunday,1972-03-24,Mehandi Circus,David Kim
Neeru,Patil,1963-11-28,Arsenio Hall: Smart & Classy,Barbie
Kulraj,Bajwa,1975-12-29,Little Miss Sumo,Sophie
Soumitra,Randhawa,2003-09-07,Consequences,David Kim
Miss,Chatterjee,1997-01-02,Dolemite Is My Name,David Kim
Sippy,Pooja,1982-01-21,Rattlesnake,Dog
Rajat,Gill,1978-08-31,The Awakening of Motti Wolkenbruch,Dog
Feroze,Barmecha,1963-11-20,Echo in the Canyon,Barbie
Júlio,Khan,1955-03-29,Revenge of the Pontianak,Dog
Li,Andrade,1988-11-08,Dancing with the Birds,Anna
Quincy,Yi,1986-01-12,Master Z: The Ip Man Legacy,Anna
Marwan,Jones,1966-10-11,Jenny Slate: Stage Fright,Sophie
Ben,Kenzari,1973-06-28,Free Fire,Barbie
Alessandro,Mendelsohn,2000-09-23,The Command,Dog
Barry,Borghi,1950-04-06,10 Days in Sun City,Sophie
John,Atsma,1977-08-13,Eli,Sophie
Shannon,Krasinski,1954-01-18,"Love, Surreal and Odd",Anna
Anna,Purser,2000-05-27,Seventeen,Sophie
Peter,Mouglalis,1989-08-05,Tatu,Sophie
Benoît,Ho,1962-11-16,The Laundromat,Sophie
Tanmay,Magimel,1964-05-30,Up North,Dog
Geetanjali,Dhanania,1978-07-26,Upstarts,Sophie
Saharsh,Thapa,1962-11-23,Verses of Love 2,Dog
Shefali,Kumar,1970-01-29,Park Na-rae: Glamour Warning,Barbie
Mathieu,Shah,1969-01-01,Sinister 2,Anna
Vito,Kassovitz,1966-10-08,The Game Changers,Barbie
Tapsee,Sanz,2003-04-26,Black Money Love,David Kim
Mahesh,Pannu,1993-07-16,"Martin Matte: La vie, la mort...eh la la..!",Anna
Maria,Babu,1950-05-26,Street Flow,Sophie
Robb,Bamford,1997-01-17,Bygones Be Bygones,Anna
Sun,Wells,1993-07-08,El Camino: A Breaking Bad Movie,Sophie
Kyle,Qian,1994-05-22,Fractured,Barbie
Joseph,Harvey,1993-07-15,The Bling Lagosians,Barbie
Yoo,Vijay,1981-11-17,The Forest of Love,Anna
Harshvardhan,Byung,1993-05-17,The Influence,Anna
Daniel,Kapoor,1957-07-03,After,Anna
Zion,Doheny,1972-06-03,Home Is Where the Killer Is,Anna
Alia,Clark,1963-03-14,Deon Cole: Cole Hearted,David Kim
Tiger,Bhatt,1968-07-29,Love for Sale,Barbie
Arjun,Shroff,1965-06-10,Noblemen,Sophie
Taito,Mathur,1975-05-21,Brother in Love,Dog
Kristen,Ban,1989-03-11,In the Tall Grass,Dog
Irfan,Bell,1989-04-08,Kids on the Block,Dog
Aditya,Khan,1965-04-19,Super Monsters: Vida's First Halloween,Dog
Karisma,Roy,1986-05-19,Ready to Mingle,David Kim
Randeep,Kapoor,1966-04-22,Cheese in the Trap,Dog
Pankaj,Hooda,1957-07-21,First Kiss,Sophie
Mark,Kapur,1999-04-02,Nikki Glaser: Banginâ€™,Barbie
Mora,Schneider,1976-10-05,Rugrats in Paris: The Movie,Anna
Jane,Arenillas,1954-03-24,The Rugrats Movie,Dog
Nathalie,Turner,1968-05-12,The Squid and the Whale,Sophie
Coco,Odzierejko,1970-08-31,Gotham,Dog
Michael,Celis,1966-11-02,Mo Gilligan: Momentum,Sophie
Jim,PeÃ±a,1990-11-23,TUNA GIRL,Sophie
Juan,Gaffigan,1961-01-31,Deliha 2,David Kim
Kelli,Diego,1971-08-12,In the Shadow of the Moon,David Kim
Francisca,Berglund,1957-03-01,Malaal,Dog
Lee,Lozano,1955-10-17,The Grandmaster,Anna
Luciano,Byung-hun,1984-12-06,Inside Man: Most Wanted,Barbie
Felipe,Mellera,1997-02-05,Jeff Dunham: Beside Himself,Anna
Joan,Esparza,1976-10-01,Manmadhudu 2,Anna
Zhao,Rivers,1985-11-30,Under the Eiffel Tower,Dog
Alia,Jun,1978-04-14,Do Paise Ki Dhoop Chaar Aane Ki Baarish,Barbie
Gulshan,Shawkat,1977-12-14,Between Two Ferns: The Movie,Anna
Sanjay,Grover,1990-03-11,Criminal: Spain,Anna
Sofía,Suri,1951-02-13,The Hockey Girls,Anna
Shashank,Sisniega,1978-06-01,Travel Mates 2,David Kim
Alma,Arora,1981-10-26,Kabir Singh,Barbie
Jack,Terzic,1983-02-22,Avengement,Anna
Jani,Lowden,1986-07-07,Sebastian Maniscalco: What's Wrong with People?,David Kim
Adrián,DueÃ±as,1993-09-16,Los Tigres del Norte at Folsom Prison,Dog
Maika,Uribe,1959-02-27,Steal a Pencil for Me,David Kim
W.,Monroe,2003-06-22,Oh! Baby,Barbie
Rie,Kamau,1984-04-18,The Crystal Calls Making the Dark Crystal: Age of Resistance,Anna
Sarah,Kugimiya,1974-12-09,"Hello, Privilege. It's Me, Chelsea",Dog
Chloë,Stern,1960-08-27,Locked on You,Anna
Vicky,Grace,1968-07-12,Shanghai Fortress,Dog
Guy,Kaushal,1985-06-03,Tall Girl,Anna
Bárbara,Amir,1989-01-22,Bill Burr: Paper Tiger,Sophie
Pietro,Lennie,1970-08-15,Article 15,Anna
Osamah,Sibille,1988-07-20,Care of Kancharapalem,Sophie
Kritika,Sami,1997-11-18,Ee Nagaraniki Emaindi,Anna
Jay,Sachdeva,1973-03-22,Kill Me If You Dare,Dog
Felix,Duplass,2001-08-14,Saawan,Anna
